ID,Name,Concepticon_ID,Concepticon_Gloss,concepticon_proposed,semantic_field
BandN,Band::N,2969,RIBBON,RIBBON,CLOTHING
KammN,Kamm::N,1475,COMB,COMB,CLOTHING
SpiegelN,Spiegel::N,1171,MIRROR,MIRROR,HYGIENE
RiemenN,Riemen::N,2973,STRAP,STRAP,CLOTHING
SchnurN,Schnur::N,362,STRING,STRING,CLOTHING
LeineN,Leine::N,2959,LEASH,LEASH,CLOTHING
DeckeN,Decke::N,806,BLANKET,BLANKET,CLOTHING
KissenN,Kissen::N,1044,PILLOW,PILLOW,CLOTHING
TuchN,Tuch::N,,,SCARF,CLOTHING
HandtuchN,Handtuch::N,1021,TOWEL,TOWEL,CLOTHING
KraftN,Kraft::N,,,FORCE,MANIPULATION
StarkeN,Stärke::N,202,STRENGTH,STRENGTH,HUMAN BODY
GesundheitN,Gesundheit::N,1364,HEALTHY,HEALTHY,HUMAN BODY
KrankheitN,Krankheit::N,1986,DISEASE,DISEASE,HUMAN BODY
SchmerzN,Schmerz::N,1783,PAIN,PAIN,HUMAN BODY
WundeN,Wunde::N,1109,WOUND,WOUND,HUMAN BODY
FieberN,Fieber::N,1534,FEVER,FEVER,HUMAN BODY
ArzneiN,Arznei::N,1372,MEDICINE,MEDICINE,HUMAN BODY
BruckeN,Brücke::N,1011,BRIDGE,BRIDGE,HOUSING
BrunnenN,Brunnen::N,954,WELL,WELL,HOUSING
WeideN,Weide::N,,,PASTURE,HOUSING
PfadN,Pfad::N,2252,PATH,PATH,HOUSING
WegN,Weg::N,2457,PATH OR ROAD,WAY,HOUSING
StraeN,Straße::N,667,ROAD,ROAD,HOUSING
DorfN,Dorf::N,930,VILLAGE,VILLAGE,HOUSING
StadtN,Stadt::N,1391,TOWN,TOWN,HOUSING
BriefN,Brief::N,1612,LETTER,LETTER,WRITING
BuchN,Buch::N,963,BOOK,BOOK,WRITING
BuchstabeN,Buchstabe::N,1024,CHARACTER,CHARACTER,WRITING
ZeitungN,Zeitung::N,1298,NEWSPAPER,NEWSPAPER,WRITING
LebenN,Leben::N,210,LIFE,LIFE,RELIGION
TodN,Tod::N,910,DEATH,DEATH,RELIGION
GrabN,Grab::N,1773,GRAVE,GRAVE,RELIGION
KircheN,Kirche::N,1349,CHURCH,CHURCH,RELIGION
SundeN,Sünde::N,2971,SIN,SIN,RELIGION
GottN,Gott::N,1944,GOD,GOD,RELIGION
ArbeiterN,Arbeiter::N,2977,WORKER,WORKER,SOCIAL RELATIONS
ChefN,Chef::N,2930,BOSS,BOSS,SOCIAL RELATIONS
MeisterN,Meister::N,383,MASTER,MASTER_(TRADE),SOCIAL RELATIONS
ArztN,Arzt::N,597,PHYSICIAN,PHYSICIAN,SOCIAL RELATIONS
LehrerN,Lehrer::N,1038,TEACHER,TEACHER,SOCIAL RELATIONS
GeldN,Geld::N,1559,MONEY,MONEY,TRADE
GeschaftN,Geschäft::N,2931,BUSINESS,BUSINESS,TRADE
LadenN,Laden::N,746,SHOP,SHOP,TRADE
PreisN,Preis::N,657,PRICE,PRICE,TRADE
WareN,Ware::N,2957,WARE,WARE,TRADE
NutzenN,Nutzen::N,2929,BENEFIT,BENEFIT,TRADE
ReichtumN,Reichtum::N,2996,WEALTH,WEALTH,TRADE
